sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus,errors
"Test Sku-Admin Option 2-Admin Attribute",,"Attribute Set Name",virtual,,base,"Test Sku-Admin Option 2-Admin Attribute",<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Not Visible Individually",15,,,,test-sku-admin-option-2-admin-attribute,"Test Product Name Meta Title","Test Product Name, keyword 2, keyword 3","Test Product Name Description Meta Description",,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,No,,,,,,,,,"attributecode1=Admin Option 2,size_group=Admin Attribute",,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
"Test Sku-Admin Option 2-Admin Attribute 2",,"Attribute Set Name",virtual,,base,"Test Sku-Admin Option 2-Admin Attribute 2",<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Not Visible Individually",15,,,,test-sku-admin-option-2-admin-attribute-2,"Test Product Name Meta Title","Test Product Name, keyword 2, keyword 3","Test Product Name Description Meta Description",,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,No,,,,,,,,,"attributecode1=Admin Option 2,size_group=Admin Attribute 2",,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
"Test Sku-Admin Option-Admin Attribute 2",,"Attribute Set Name",virtual,,base,"Test Sku-Admin Option-Admin Attribute 2",<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Not Visible Individually",12,,,,test-sku-admin-option-admin-attribute-2,"Test Product Name Meta Title","Test Product Name, keyword 2, keyword 3","Test Product Name Description Meta Description",,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,No,,,,,,,,,"attributecode1=Admin Option,size_group=Admin Attribute 2",,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
"Test Sku-Admin Option-Admin Attribute",,"Attribute Set Name",virtual,,base,"Test Sku-Admin Option-Admin Attribute",<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Not Visible Individually",12,,,,test-sku-admin-option-admin-attribute,"Test Product Name Meta Title","Test Product Name, keyword 2, keyword 3","Test Product Name Description Meta Description",,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,No,,,,,,,,,"attributecode1=Admin Option,size_group=Admin Attribute",,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
"Test Sku",,"Attribute Set Name",configurable,"Default Category,Default Category/Gear",base,"Test Product Name",<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Catalog, Search",10,,,,custom-url-key,"Test Product Name Meta Title","Test Product Name, keyword 2, keyword 3","Test Product Name Description Meta Description",,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"sku=Test Sku-Admin Option-Admin Attribute,size_group=Admin Attribute Store View|sku=Test Sku-Admin Option-Admin Attribute 2,size_group=Admin Attribute Store View 2|sku=Test Sku-Admin Option 2-Admin Attribute,size_group=Admin Attribute Store View|sku=Test Sku-Admin Option 2-Admin Attribute 2,size_group=Admin Attribute Store View 2",,,"Invalid option value"
GBL,,Gloves,virtual,,base,Gloves,<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Not Visible Individually",20,,,,gloves-bl,Gloves,"Gloves, clothes",Gloves,,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Black,size_group=Large",,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'size_group' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
GBS,,Gloves,virtual,,base,Gloves,<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Not Visible Individually",5,,,,gloves-bs,Gloves,"Gloves, clothes",Gloves,,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Black,size_group=Small",,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'size_group' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
GWL,,Gloves,virtual,,base,Gloves,<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Not Visible Individually",20,,,,gloves-wl,Gloves,"Gloves, clothes",Gloves,,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=White,size_group=Large",,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'size_group' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
GWS,,Gloves,virtual,,base,Gloves,<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Not Visible Individually",25,,,,gloves-ws,Gloves,"Gloves, clothes",Gloves,,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=White,size_group=Small",,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"Value for 'size_group' attribute contains incorrect value, see acceptable values on settings specified for Admin,Invalid value for Attribute Set column (set doesn't exist?)"
G,,Gloves,configurable,"Default Category,Default Category/Clothes,Default Category/Clothes/Gloves",base,Gloves,<p>Description</p>,"<p>Short Description</p>",,1,"Taxable Goods","Catalog, Search",20,,,,gloves,Gloves,"Gloves, clothes",Gloves,,,,,,,,,"3/16/17, 3:54 PM","3/16/17, 3:54 PM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"sku=GBL,size_group=Large|sku=GBS,size_group=Small|sku=GWL,size_group=Large|sku=GWS,size_group=Small",,,"Invalid value for Attribute Set column (set doesn't exist?)"
